Дата,Курс,Отклонение от медианы,Отклонение от среднего
2023-02-22,74.8596,43.467,31.59427419829843
2023-02-21,74.0432,42.6506,30.777874198298427
2023-02-18,74.7588,43.36619999999999,31.493474198298422
2023-02-17,74.7638,43.3712,31.49847419829843
2023-02-16,74.2077,42.8151,30.94237419829843
2023-02-15,73.8645,42.471900000000005,30.599174198298435
2023-02-14,73.6307,42.2381,30.365374198298433
2023-02-11,72.7923,41.399699999999996,29.526974198298426
2023-02-10,72.8949,41.502300000000005,29.629574198298435
2023-02-09,71.5763,40.1837,28.31097419829843
2023-02-08,70.8924,39.49979999999999,27.627074198298423
2023-02-07,70.5991,39.206500000000005,27.333774198298435
2023-02-04,70.3847,38.99209999999999,27.119374198298424
2023-02-03,70.0414,38.648799999999994,26.776074198298424
2023-02-02,70.1217,38.7291,26.856374198298433
2023-02-01,70.5174,39.12479999999999,27.252074198298423
2023-01-31,69.5927,38.20009999999999,26.327374198298422
2023-01-28,69.3372,37.944599999999994,26.071874198298424
2023-01-27,69.1263,37.7337,25.86097419829843
2023-01-26,68.9573,37.5647,25.691974198298432
2023-01-25,68.7529,37.360299999999995,25.487574198298425
2023-01-24,68.6288,37.2362,25.363474198298427
2023-01-21,68.6656,37.272999999999996,25.400274198298426
2023-01-20,68.8467,37.4541,25.581374198298427
2023-01-19,68.8728,37.480199999999996,25.607474198298426
2023-01-18,68.6644,37.2718,25.39907419829843
2023-01-17,68.2892,36.89659999999999,25.023874198298422
2023-01-14,67.5744,36.181799999999996,24.309074198298426
2023-01-13,67.7775,36.3849,24.512174198298432
2023-01-12,69.0202,37.6276,25.75487419829843
2023-01-11,69.6094,38.21679999999999,26.344074198298422
2023-01-10,70.3002,38.9076,27.034874198298432
2022-12-31,70.3375,38.944900000000004,27.072174198298434
2022-12-30,71.9778,40.5852,28.71247419829843
2022-12-29,71.3261,39.933499999999995,28.060774198298425
2022-12-28,69.9346,38.542,26.66927419829843
2022-12-27,68.4487,37.0561,25.18337419829843
2022-12-24,68.676,37.2834,25.41067419829843
2022-12-23,72.1306,40.738,28.86527419829843
2022-12-22,70.5256,39.132999999999996,27.260274198298426
2022-12-21,69.0037,37.61109999999999,25.738374198298423
2022-12-20,66.3474,34.95479999999999,23.08207419829842
2022-12-17,64.6078,33.215199999999996,21.342474198298426
2022-12-16,64.3015,32.9089,21.036174198298433
2022-12-15,63.359,31.9664,20.09367419829843
2022-12-14,63.212,31.8194,19.94667419829843
2022-12-13,62.7674,31.3748,19.50207419829843
2022-12-10,62.3813,30.9887,19.11597419829843
2022-12-09,62.5722,31.1796,19.30687419829843
2022-12-08,62.9372,31.544599999999996,19.671874198298426
2022-12-07,62.9103,31.517699999999998,19.644974198298428
2022-12-06,62.1849,30.792299999999997,18.919574198298427
2022-12-03,61.7749,30.3823,18.50957419829843
2022-12-02,61.1479,29.7553,17.88257419829843
2022-12-01,60.8803,29.487699999999997,17.614974198298427
2022-11-30,61.0742,29.681599999999996,17.808874198298426
2022-11-29,60.752,29.3594,17.48667419829843
2022-11-26,60.4797,29.0871,17.21437419829843
2022-11-25,60.3866,28.994,17.12127419829843
2022-11-24,60.5043,29.1117,17.23897419829843
2022-11-23,60.6566,29.263999999999996,17.391274198298426
2022-11-22,60.7379,29.3453,17.47257419829843
2022-11-19,60.3741,28.981499999999997,17.108774198298427
2022-11-18,60.3894,28.9968,17.12407419829843
2022-11-17,60.3484,28.955799999999996,17.083074198298426
2022-11-16,60.3116,28.918999999999997,17.046274198298427
2022-11-15,60.3982,29.0056,17.13287419829843
2022-11-12,60.2179,28.8253,16.95257419829843
2022-11-11,61.2434,29.8508,17.97807419829843
2022-11-10,61.0611,29.6685,17.79577419829843
2022-11-09,60.9774,29.5848,17.71207419829843
2022-11-08,61.2367,29.844099999999997,17.971374198298427
2022-11-04,62.0955,30.7029,18.83017419829843
2022-11-03,61.6175,30.224899999999998,18.352174198298428
2022-11-02,61.4275,30.0349,18.16217419829843
