Дата,Температура
2011/03/19,-1
2011/03/20,-3
2011/03/21,-1
2011/03/22,-2
2011/03/23,+1
2011/03/24,+1
2011/03/25,-3
2011/03/26,-2
2011/03/27,-3
2011/03/28,-2
2011/03/29,-3
2011/03/30,+2
2011/03/31,+5
2011/04/1,+1
2011/04/2,+2
2011/04/3,+3
2011/04/4,+7
2011/04/5,+8
2011/04/6,+8
2011/04/7,+8
2011/04/8,+4
2011/04/9,+4
2011/04/10,+5
2011/04/11,+7
2011/04/12,+8
2011/04/13,+7
2011/04/14,+7
2011/04/15,+5
2011/04/16,+7
2011/04/17,+8
2011/04/18,+11
2011/04/19,+5
2011/04/20,+5
2011/04/21,+4
2011/04/22,+9
2011/04/23,+15
2011/04/24,+13
2011/04/25,+15
2011/04/26,+11
2011/04/27,+15
2011/04/28,+17
2011/04/29,+21
2011/04/30,+21
2011/05/1,+14
2011/05/2,+19
2011/05/3,+17
2011/05/4,+14
2011/05/5,+17
2011/05/6,+16
2011/05/7,+18
2011/05/8,+23
2011/05/9,+24
2011/05/10,+23
2011/05/11,+21
2011/05/12,+12
2011/05/13,+12
2011/05/14,+14
2011/05/15,+15
2011/05/16,+20
2011/05/17,+22
2011/05/18,+21
2011/05/19,+21
2011/05/20,+21
2011/05/21,+26
2011/05/22,+26
2011/05/23,+25
2011/05/24,+22
2011/05/25,+21
2011/05/26,+22
2011/05/27,+15
2011/05/28,+15
2011/05/29,+21
2011/05/30,+26
2011/05/31,+25
2011/06/1,+22
2011/06/2,+25
2011/06/3,+27
2011/06/4,+17
2011/06/5,+15
2011/06/6,+18
2011/06/7,+14
2011/06/8,+17
2011/06/9,+17
2011/06/10,+17
2011/06/11,+17
2011/06/12,+16
2011/06/13,+20
2011/06/14,+19
2011/06/15,+21
2011/06/16,+21
2011/06/17,+19
2011/06/18,+19
2011/06/20,+25
2011/06/21,+20
2011/06/22,+20
2011/06/23,+17
2011/06/24,+19
2011/06/25,+23
2011/06/26,+20
2011/06/27,+23
2011/06/28,+27
2011/06/29,+29
2011/06/30,+28
2011/07/1,+26
2011/07/2,+29
2011/07/3,+31
2011/07/4,+33
2011/07/5,+33
2011/07/6,+29
2011/07/7,+32
2011/07/8,+35
2011/07/9,+30
2011/07/10,+21
2011/07/11,+22
2011/07/12,+24
2011/07/13,+27
2011/07/14,+26
2011/07/15,+27
2011/07/16,+27
2011/07/17,+28
2011/07/18,+30
2011/07/19,+32
2011/07/20,+31
2011/07/21,+30
2011/07/22,+27
2011/07/23,+29
2011/07/24,+31
2011/07/25,+32
2011/07/26,+36
2011/07/27,+27
2011/07/28,+32
2011/07/29,+34
